"<track>Tracking 2</track>",Orders,Customers,"New Customers","New Customers Rate",Offers,"Offers Per Order","Initial Cart Gross Product Revenue","Initial Cart Discounts","Initial Cart Rewards","Initial Cart Shipping","Initial Cart Tax","Initial Cart Revenue","Average Initial Cart Revenue",Upsells,"Upsell Rate","Upsells Per Order","Upsell Gross Product Revenue","Upsell Discounts","Upsell Rewards","Upsell Shipping","Upsell Tax","Upsell Revenue","Total Cart Offers","Total Cart Offers Per Order","Total Cart Gross Product Revenue","Total Cart Discounts","Total Cart Rewards","Total Cart Shipping","Total Cart Tax","Total Cart Revenue","Total Average Cart Revenue",Subscriptions,Active,"Retention Rate","First Renewals","First Renewal Rate","Average Renewal Cycle","Renewal Revenue","Average Renewal Revenue","Total Offers and Renewals","Total Revenue","Average Total Revenue","Average Total Revenue Per Customer",Adjustments,"Adjustment Rate",Refunds,"Offer Refund Rate","Refunded Revenue","Refunded Revenue Rate",Voids,"Offer Void Rate","Voided Revenue","Void Revenue Rate",Chargebacks,"Offer Chargeback Rate","Chargeback Revenue","Chargeback Revenue Rate",Alerts,"Offer Alert Rate","Alert Revenue","Alert Revenue Rate","Net Revenue","Average Net Revenue Per Customer","Cost of Revenue","Cost of Goods Sold","Ad Spend","Ad Spend Rate","Chargeback Fees","Chargeback Fees Rate","Alert Fees","Alert Fees Rate","Processing Fees","Processing Fees Rate",Profit,"Profit Margin","Profit Per Order","Profit Per Customer","Tax Collected","Gift Cards Applied",Processed
"EGO Mini Bike",253,225,221,87.35%,253,1.00,"$4,400.57",$0.00,$0.00,$0.00,$0.00,"$4,400.57",$17.39,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,253,1.00,"$4,400.57",$0.00,$0.00,$0.00,$0.00,"$4,400.57",$17.39,253,78,30.83%,46,18.18%,0.18,"$4,548.94","$4,548.94",299,"$8,949.51",$35.37,$39.78,"$1,297.09",14.49%,2,0.67%,$54.47,0.61%,7,2.34%,$211.18,2.36%,0,0.00%,$0.00,0.00%,22,7.36%,"$1,031.44",11.53%,"$7,652.42",$34.01,$464.99,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$464.99,5.20%,"$7,187.43",80.31%,$28.41,$31.94,$0.00,$0.00,"$8,949.51"
"EGO Power Mini Bike",8,8,8,100.00%,8,1.00,$103.12,$0.00,$0.00,$0.00,$0.00,$103.12,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8,1.00,$103.12,$0.00,$0.00,$0.00,$0.00,$103.12,$12.89,8,2,25.00%,2,25.00%,0.25,$197.78,$197.78,10,$300.90,$37.61,$37.61,$12.89,4.28%,1,10.00%,$12.89,4.28%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$288.01,$36.00,$17.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$17.00,5.65%,$271.01,90.07%,$33.88,$33.88,$0.00,$0.00,$300.90
"ERROR - NO PARAMETER",1,1,1,100.00%,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,1,1,100.00%,1,100.00%,1.00,$98.89,$98.89,2,$111.78,$111.78,$111.78,$111.78,100.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,2,100.00%,$111.78,100.00%,$0.00,$0.00,$5.98,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$5.98,5.35%,$-5.98,-5.35%,$-5.98,$-5.98,$0.00,$0.00,$111.78
"Evolution Tackle Fishing Bag",2,2,1,50.00%,2,1.00,$66.79,$0.00,$0.00,$0.00,$0.00,$66.79,$33.40,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2,1.00,$66.79,$0.00,$0.00,$0.00,$0.00,$66.79,$33.40,2,1,50.00%,0,0.00%,0.00,$0.00,$0.00,2,$66.79,$33.40,$33.40,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$66.79,$33.40,$3.74,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$3.74,5.60%,$63.05,94.40%,$31.53,$31.53,$0.00,$0.00,$66.79
"FORD Custom Bench",1,1,1,100.00%,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,1,0,0.00%,0,0.00%,0.00,$0.00,$0.00,1,$12.89,$12.89,$12.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$12.89,$12.89,$0.84,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$0.84,6.52%,$12.05,93.48%,$12.05,$12.05,$0.00,$0.00,$12.89
"G-Shock GA-2100 1A1ER Black Oak Watch",3,2,2,66.67%,3,1.00,$73.62,$0.00,$0.00,$0.00,$0.00,$73.62,$24.54,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3,1.00,$73.62,$0.00,$0.00,$0.00,$0.00,$73.62,$24.54,3,2,66.67%,1,33.33%,0.33,$98.89,$98.89,4,$172.51,$57.50,$86.26,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$172.51,$86.26,$9.41,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$9.41,5.45%,$163.10,94.55%,$54.37,$81.55,$0.00,$0.00,$172.51
"G-Shock Metal GM-2100B Watch",8,8,8,100.00%,8,1.00,$109.18,$0.00,$0.00,$0.00,$0.00,$109.18,$13.65,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8,1.00,$109.18,$0.00,$0.00,$0.00,$0.00,$109.18,$13.65,8,2,25.00%,2,25.00%,0.25,$197.78,$197.78,10,$306.96,$38.37,$38.37,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$306.96,$38.37,$12.17,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$12.17,3.96%,$294.79,96.04%,$36.85,$36.85,$0.00,$0.00,$306.96
"Garmin Fenix 8 AMOLED 51 mm Watch",1,1,1,100.00%,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,1,0,0.00%,0,0.00%,0.00,$0.00,$0.00,1,$12.89,$12.89,$12.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$12.89,$12.89,$0.84,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$0.84,6.52%,$12.05,93.48%,$12.05,$12.05,$0.00,$0.00,$12.89
"Garmin Fish Finder",78,72,46,58.97%,78,1.00,"$2,131.29",$0.00,$0.00,$0.00,$0.00,"$2,131.29",$27.32,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,78,1.00,"$2,131.29",$0.00,$0.00,$0.00,$0.00,"$2,131.29",$27.32,78,48,61.54%,17,21.79%,0.22,"$1,681.13","$1,681.13",95,"$3,812.42",$48.88,$52.95,$543.44,14.25%,2,2.11%,$29.63,0.78%,1,1.05%,$47.84,1.25%,0,0.00%,$0.00,0.00%,8,8.42%,$465.97,12.22%,"$3,268.98",$45.40,$199.04,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$199.04,5.22%,"$3,069.94",80.52%,$39.36,$42.64,$0.00,$0.00,"$3,812.42"
"Garmin Instinct 2X Solar Watch",1,1,1,100.00%,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,1,0,0.00%,0,0.00%,0.00,$0.00,$0.00,1,$12.89,$12.89,$12.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$12.89,$12.89,$0.84,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$0.84,6.52%,$12.05,93.48%,$12.05,$12.05,$0.00,$0.00,$12.89
"Garmin Instinct 3 Amoled Limited Edition Watch",338,328,325,96.15%,338,1.00,"$4,868.11",$0.00,$0.00,$0.00,$0.00,"$4,868.11",$14.40,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,338,1.00,"$4,868.11",$0.00,$0.00,$0.00,$0.00,"$4,868.11",$14.40,338,84,24.85%,70,20.71%,0.21,"$6,941.25","$6,941.25",409,"$11,809.36",$34.94,$36.00,"$1,051.31",8.90%,2,0.49%,$22.37,0.19%,8,1.96%,$275.12,2.33%,0,0.00%,$0.00,0.00%,21,5.13%,$753.82,6.38%,"$10,758.05",$32.80,$634.78,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$634.78,5.38%,"$10,123.27",85.72%,$29.95,$30.86,$0.00,$0.00,"$11,809.36"
"Garmin Instinct 3 Limited Edition Watch",5,5,5,100.00%,5,1.00,$76.57,$0.00,$0.00,$0.00,$0.00,$76.57,$15.31,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,5,1.00,$76.57,$0.00,$0.00,$0.00,$0.00,$76.57,$15.31,5,2,40.00%,1,20.00%,0.20,$98.89,$98.89,6,$175.46,$35.09,$35.09,$12.89,7.35%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,16.67%,$12.89,7.35%,$162.57,$32.51,$9.96,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$9.96,5.68%,$152.61,86.98%,$30.52,$30.52,$0.00,$0.00,$175.46
"GearWrench 18 Drawer Rolling Tool Cabinet",13,9,9,69.23%,13,1.00,$284.54,$0.00,$0.00,$0.00,$0.00,$284.54,$21.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,13,1.00,$284.54,$0.00,$0.00,$0.00,$0.00,$284.54,$21.89,13,5,38.46%,2,15.38%,0.15,$197.78,$197.78,15,$482.32,$37.10,$53.59,$159.62,33.09%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,3,20.00%,$159.62,33.09%,$322.70,$35.86,$27.07,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$27.07,5.61%,$295.63,61.29%,$22.74,$32.85,$0.00,$0.00,$482.32
"Go-Go Sport 4-Wheel S74 Mobility Scooter",5,4,4,80.00%,5,1.00,$99.40,$0.00,$0.00,$0.00,$0.00,$99.40,$19.88,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,5,1.00,$99.40,$0.00,$0.00,$0.00,$0.00,$99.40,$19.88,5,1,20.00%,0,0.00%,0.00,$0.00,$0.00,5,$99.40,$19.88,$24.85,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$99.40,$24.85,$5.95,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$5.95,5.99%,$93.45,94.01%,$18.69,$23.36,$0.00,$0.00,$99.40
"Gorilla Dump Cart",69,69,69,100.00%,69,1.00,$901.53,$0.00,$0.00,$0.00,$0.00,$901.53,$13.07,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,69,1.00,$901.53,$0.00,$0.00,$0.00,$0.00,$901.53,$13.07,69,22,31.88%,21,30.43%,0.30,"$2,076.69","$2,076.69",90,"$2,978.22",$43.16,$43.16,$124.67,4.19%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,3,3.33%,$124.67,4.19%,"$2,853.55",$41.36,$156.24,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$156.24,5.25%,"$2,697.31",90.57%,$39.09,$39.09,$0.00,$0.00,"$2,978.22"
"Greenworks Zero Turn Lawn Mower",2,2,2,100.00%,2,1.00,$25.78,$0.00,$0.00,$0.00,$0.00,$25.78,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2,1.00,$25.78,$0.00,$0.00,$0.00,$0.00,$25.78,$12.89,2,0,0.00%,0,0.00%,0.00,$0.00,$0.00,2,$25.78,$12.89,$12.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$25.78,$12.89,$1.68,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$1.68,6.52%,$24.10,93.48%,$12.05,$12.05,$0.00,$0.00,$25.78
"Harley Davidson Motorcycle Helmet",6,6,0,0.00%,6,1.00,$287.04,$0.00,$0.00,$0.00,$0.00,$287.04,$47.84,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,6,1.00,$287.04,$0.00,$0.00,$0.00,$0.00,$287.04,$47.84,6,6,100.00%,0,0.00%,0.00,$0.00,$0.00,6,$287.04,$47.84,$47.84,$143.52,50.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,3,50.00%,$143.52,50.00%,$143.52,$23.92,$15.54,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$15.54,5.41%,$127.98,44.59%,$21.33,$21.33,$0.00,$0.00,$287.04
"Harley Davidson Motorcycle Jacket",1,1,1,100.00%,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,1,0,0.00%,0,0.00%,0.00,$0.00,$0.00,1,$12.89,$12.89,$12.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$12.89,$12.89,$0.84,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$0.84,6.52%,$12.05,93.48%,$12.05,$12.05,$0.00,$0.00,$12.89
"Honda CRF250F",2,2,2,100.00%,2,1.00,$25.78,$0.00,$0.00,$0.00,$0.00,$25.78,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2,1.00,$25.78,$0.00,$0.00,$0.00,$0.00,$25.78,$12.89,2,0,0.00%,0,0.00%,0.00,$0.00,$0.00,2,$25.78,$12.89,$12.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$25.78,$12.89,$1.68,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$1.68,6.52%,$24.10,93.48%,$12.05,$12.05,$0.00,$0.00,$25.78
"Husqvarna Zero Turn Lawnmower",3,3,1,33.33%,3,1.00,$114.63,$0.00,$0.00,$0.00,$0.00,$114.63,$38.21,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3,1.00,$114.63,$0.00,$0.00,$0.00,$0.00,$114.63,$38.21,3,2,66.67%,0,0.00%,0.00,$0.00,$0.00,3,$114.63,$38.21,$38.21,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$114.63,$38.21,$6.33,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$6.33,5.52%,$108.30,94.48%,$36.10,$36.10,$0.00,$0.00,$114.63
"Husqvarna ZeroTurn Lawnmower",2,2,0,0.00%,2,1.00,$95.68,$0.00,$0.00,$0.00,$0.00,$95.68,$47.84,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2,1.00,$95.68,$0.00,$0.00,$0.00,$0.00,$95.68,$47.84,2,2,100.00%,0,0.00%,0.00,$0.00,$0.00,2,$95.68,$47.84,$47.84,$47.84,50.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,50.00%,$47.84,50.00%,$47.84,$23.92,$5.18,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$5.18,5.41%,$42.66,44.59%,$21.33,$21.33,$0.00,$0.00,$95.68
"Hustler Zero Turn Lawn Mower",3,3,3,100.00%,3,1.00,$50.79,$0.00,$0.00,$0.00,$0.00,$50.79,$16.93,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3,1.00,$50.79,$0.00,$0.00,$0.00,$0.00,$50.79,$16.93,3,1,33.33%,0,0.00%,0.00,$0.00,$0.00,3,$50.79,$16.93,$16.93,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$50.79,$16.93,$3.14,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$3.14,6.18%,$47.65,93.82%,$15.88,$15.88,$0.00,$0.00,$50.79
"ICON Core Master 382 Piece Set",12,11,11,91.67%,12,1.00,$189.63,$0.00,$0.00,$0.00,$0.00,$189.63,$15.80,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,12,1.00,$189.63,$0.00,$0.00,$0.00,$0.00,$189.63,$15.80,12,6,50.00%,4,33.33%,0.33,$395.56,$395.56,16,$585.19,$48.77,$53.20,$150.45,25.71%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,6.25%,$12.89,2.20%,4,25.00%,$137.56,23.51%,$434.74,$39.52,$52.39,$0.00,$0.00,0.00%,$20.00,3.42%,$0.00,0.00%,$32.39,5.53%,$382.35,65.34%,$31.86,$34.76,$0.00,$0.00,$585.19
"ICON Core Master 382-Piece Tool Set",63,56,56,88.89%,63,1.00,"$1,080.96",$0.00,$0.00,$0.00,$0.00,"$1,080.96",$17.16,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,63,1.00,"$1,080.96",$0.00,$0.00,$0.00,$0.00,"$1,080.96",$17.16,63,28,44.44%,20,31.75%,0.32,"$1,977.80","$1,977.80",83,"$3,058.76",$48.55,$54.62,$925.64,30.26%,2,2.41%,$133.50,4.36%,1,1.20%,$12.89,0.42%,0,0.00%,$0.00,0.00%,15,18.07%,$779.25,25.48%,"$2,133.12",$38.09,$158.93,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$158.93,5.20%,"$1,974.19",64.54%,$31.34,$35.25,$0.00,$0.00,"$3,058.76"
"Icon Core Master 382 Piece Set",121,110,110,90.91%,121,1.00,"$1,992.62",$0.00,$0.00,$0.00,$0.00,"$1,992.62",$16.47,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,121,1.00,"$1,992.62",$0.00,$0.00,$0.00,$0.00,"$1,992.62",$16.47,121,41,33.88%,28,23.14%,0.23,"$2,768.92","$2,768.92",149,"$4,761.54",$39.35,$43.29,$667.47,14.02%,2,1.34%,$146.73,3.08%,3,2.01%,$73.62,1.55%,1,0.67%,$12.89,0.27%,7,4.70%,$434.23,9.12%,"$4,094.07",$37.22,$271.87,$0.00,$0.00,0.00%,$20.00,0.42%,$0.00,0.00%,$251.87,5.29%,"$3,822.20",80.27%,$31.59,$34.75,$0.00,$0.00,"$4,761.54"
"Icon Master Set",33,26,26,78.79%,33,1.00,$653.25,$0.00,$0.00,$0.00,$0.00,$653.25,$19.80,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,33,1.00,$653.25,$0.00,$0.00,$0.00,$0.00,$653.25,$19.80,33,15,45.45%,9,27.27%,0.27,$890.01,$890.01,42,"$1,543.26",$46.77,$59.36,$143.62,9.31%,0,0.00%,$0.00,0.00%,1,2.38%,$12.89,0.84%,0,0.00%,$0.00,0.00%,3,7.14%,$130.73,8.47%,"$1,399.64",$53.83,$85.41,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$85.41,5.53%,"$1,314.23",85.16%,$39.83,$50.55,$0.00,$0.00,"$1,543.26"
"Intex PureSpa 6 Person Outdoor Inflatable Hot Tub",19,19,19,100.00%,19,1.00,$257.03,$0.00,$0.00,$0.00,$0.00,$257.03,$13.53,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,19,1.00,$257.03,$0.00,$0.00,$0.00,$0.00,$257.03,$13.53,19,5,26.32%,2,10.53%,0.11,$197.78,$197.78,21,$454.81,$23.94,$23.94,$12.89,2.83%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,4.76%,$12.89,2.83%,$441.92,$23.26,$21.72,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$21.72,4.78%,$420.20,92.39%,$22.12,$22.12,$0.00,$0.00,$454.81
"Issei Base Fishing Set",2,1,1,50.00%,2,1.00,$60.73,$0.00,$0.00,$0.00,$0.00,$60.73,$30.37,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2,1.00,$60.73,$0.00,$0.00,$0.00,$0.00,$60.73,$30.37,2,2,100.00%,1,50.00%,0.50,$98.89,$98.89,3,$159.62,$79.81,$159.62,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$159.62,$159.62,$3.43,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$3.43,2.15%,$156.19,97.85%,$78.10,$156.19,$0.00,$0.00,$159.62
"Jack Daniels Whisky Barrel Pub Table",2,2,0,0.00%,2,1.00,$66.79,$0.00,$0.00,$0.00,$0.00,$66.79,$33.40,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2,1.00,$66.79,$0.00,$0.00,$0.00,$0.00,$66.79,$33.40,2,2,100.00%,1,50.00%,0.50,$98.89,$98.89,3,$165.68,$82.84,$82.84,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$165.68,$82.84,$8.88,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$8.88,5.36%,$156.80,94.64%,$78.40,$78.40,$0.00,$0.00,$165.68
"John Cena Farewell Spinner Championship Belt",1,1,0,0.00%,1,1.00,$47.84,$0.00,$0.00,$0.00,$0.00,$47.84,$47.84,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$47.84,$0.00,$0.00,$0.00,$0.00,$47.84,$47.84,1,1,100.00%,0,0.00%,0.00,$0.00,$0.00,1,$47.84,$47.84,$47.84,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$47.84,$47.84,$2.59,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$2.59,5.41%,$45.25,94.59%,$45.25,$45.25,$0.00,$0.00,$47.84
