Item,"Attempted Charges","Declined Charges","Declined Charge Rate","Successful Charges","Success Charge Rate","Unique Cycle Attempts","Declined Unique Cycle Attempts","Declined Unique Cycle Attempt Rate","Successful Unique Cycle Attempts","Success Unique Cycle Attempt Rate","Cycle 1 Attempts","Cycle 1 Success","Cycle 1 Revenue","Cycle 1 Decline","Cycle 1 Success Rate","Renewal Attempts","Renewal Success","Renewal Revenue","Renewal Decline","Renewal Success Rate","Successful Offers","Item Quantity","Successful Customers","Gross Product Revenue",Discounts,Rewards,"Net Product Revenue",Shipping,"Gift Cards","Total Revenue",Tax,Processed,Adjustments,"Adjustment Rate",Refunds,"Refund Rate","Refunded Revenue","Refunded Revenue Rate",Voids,"Void Rate","Voided Revenue","Void Revenue Rate",Chargebacks,"Chargeback Rate","Chargeback Revenue","Chargeback Revenue Rate",Alerts,"Alert Rate","Alert Revenue","Alert Revenue Rate","Net Revenue","Cost of Revenue","Cost of Goods Sold","Cycle 1 Cost of Goods Sold","Recurring Cost of Goods Sold","Ad Spend","Ad Spend Rate","Chargeback Fees","Chargeback Fees Rate","Alert Fees","Alert Fees Rate","Processing Fees","Processing Fees Rate",Profit,"Profit Margin"
"DP1 RP V3",218,192,88.07%,26,11.93%,204,178,87.25%,26,12.75%,215,25,$473.75,190,11.63%,3,1,$18.95,2,33.33%,26,26,25,$492.70,$0.00,$0.00,$492.70,$0.00,$0.00,$492.70,$0.00,$492.70,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$492.70,$68.30,$0.00,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$68.30,13.86%,$424.40,86.14%
"DP1 V3",989,669,67.64%,320,32.36%,601,281,46.76%,320,53.24%,989,320,"$4,124.80",669,32.36%,0,0,$0.00,0,0.00%,320,320,320,"$4,124.80",$0.00,$0.00,"$4,124.80",$0.00,$0.00,"$4,124.80",$0.00,"$4,124.80",$116.01,2.81%,0,0.00%,$0.00,0.00%,8,2.50%,$103.12,2.50%,0,0.00%,$0.00,0.00%,1,0.31%,$12.89,0.31%,"$4,008.79",$402.60,$0.00,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$402.60,9.76%,"$3,606.19",87.43%
"DP1 V3(PP)",109,84,77.06%,25,22.94%,109,84,77.06%,25,22.94%,109,25,$322.25,84,22.94%,0,0,$0.00,0,0.00%,25,25,25,$322.25,$0.00,$0.00,$322.25,$0.00,$0.00,$322.25,$0.00,$322.25,$12.89,4.00%,0,0.00%,$0.00,0.00%,1,4.00%,$12.89,4.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$309.36,$37.80,$0.00,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$37.80,11.73%,$271.56,84.27%
"DP12 RP V3",6,6,100.00%,0,0.00%,4,4,100.00%,0,0.00%,0,0,$0.00,0,0.00%,6,0,$0.00,6,0.00%,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$0.00,$0.80,$0.00,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$0.80,0.00%,$-0.80,0.00%
"DP12 V3",324,267,82.41%,57,17.59%,252,195,77.38%,57,22.62%,26,3,$296.67,23,11.54%,298,54,"$5,340.06",244,18.12%,57,57,57,"$5,636.73",$0.00,$0.00,"$5,636.73",$0.00,$0.00,"$5,636.73",$0.00,"$5,636.73",$98.89,1.75%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,1.75%,$98.89,1.75%,"$5,537.84",$303.82,$0.00,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$303.82,5.39%,"$5,234.02",92.86%
"DP12 V3(PP)",13,11,84.62%,2,15.38%,13,11,84.62%,2,15.38%,0,0,$0.00,0,0.00%,13,2,$197.78,11,15.38%,2,2,2,$197.78,$0.00,$0.00,$197.78,$0.00,$0.00,$197.78,$0.00,$197.78,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$197.78,$12.48,$0.00,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$12.48,6.31%,$185.30,93.69%
"DP13 RP V3",14,13,92.86%,1,7.14%,9,8,88.89%,1,11.11%,0,0,$0.00,0,0.00%,14,1,$98.89,13,7.14%,1,1,1,$98.89,$0.00,$0.00,$98.89,$0.00,$0.00,$98.89,$0.00,$98.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$98.89,$6.14,$0.00,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$6.14,6.21%,$92.75,93.79%
"DP13 V3",66,50,75.76%,16,24.24%,55,39,70.91%,16,29.09%,4,2,$197.78,2,50.00%,62,14,"$1,384.46",48,22.58%,16,16,16,"$1,582.24",$0.00,$0.00,"$1,582.24",$0.00,$0.00,"$1,582.24",$0.00,"$1,582.24",$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$1,582.24",$75.56,$0.00,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$75.56,4.78%,"$1,506.68",95.22%
"DP13 V3 (PP)",1,1,100.00%,0,0.00%,1,1,100.00%,0,0.00%,1,0,$0.00,1,0.00%,0,0,$0.00,0,0.00%,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$0.00,$0.20,$0.00,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$0.20,0.00%,$-0.20,0.00%
"DP2 V3",162,117,72.22%,45,27.78%,162,117,72.22%,45,27.78%,162,45,"$2,152.80",117,27.78%,0,0,$0.00,0,0.00%,45,45,45,"$2,152.80",$0.00,$0.00,"$2,152.80",$0.00,$0.00,"$2,152.80",$0.00,"$2,152.80",$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$2,152.80",$139.95,$0.00,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$139.95,6.50%,"$2,012.85",93.50%
"DP2 V3(PP)",25,22,88.00%,3,12.00%,25,22,88.00%,3,12.00%,25,3,$143.52,22,12.00%,0,0,$0.00,0,0.00%,3,3,3,$143.52,$0.00,$0.00,$143.52,$0.00,$0.00,$143.52,$0.00,$143.52,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$143.52,$12.17,$0.00,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$12.17,8.48%,$131.35,91.52%
"DP22 V3",41,30,73.17%,11,26.83%,34,23,67.65%,11,32.35%,3,1,$47.84,2,33.33%,38,10,$478.40,28,26.32%,11,11,11,$526.24,$0.00,$0.00,$526.24,$0.00,$0.00,$526.24,$0.00,$526.24,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$526.24,$31.89,$0.00,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$31.89,6.06%,$494.35,93.94%
"DP22 V3(PP)",4,3,75.00%,1,25.00%,4,3,75.00%,1,25.00%,0,0,$0.00,0,0.00%,4,1,$47.84,3,25.00%,1,1,1,$47.84,$0.00,$0.00,$47.84,$0.00,$0.00,$47.84,$0.00,$47.84,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$47.84,$3.19,$0.00,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$3.19,6.67%,$44.65,93.33%
"DP23 V3",1,1,100.00%,0,0.00%,1,1,100.00%,0,0.00%,0,0,$0.00,0,0.00%,1,0,$0.00,1,0.00%,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$0.00,$0.20,$0.00,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$0.20,0.00%,$-0.20,0.00%
